Age group,Age min,Age max,Drivers licensed,Fatal accidents,All accidents
Under 16 years old,,15,31000,500,120000
16 years old,16,16,1708000,1200,620000
17 years old,17,17,2436000,1200,720000
18 years old,18,18,2868000,1900,780000
19 years old,19,19,2941000,1600,700000
19 years old and under,,19,9984000,6400,2940000
20 years old,20,20,3048000,1500,630000
21 years old,21,21,3093000,1500,600000
22 years old,22,22,3022000,1500,550000
23 years old,23,23,3209000,1300,520000
24 years old,24,24,3157000,1300,500000
20 to 24 years old,20,24,15529000,7100,2800000
25 to 34 years old,25,34,37265000,11900,4900000
35 to 44 years old,35,44,41857000,11300,4440000
45 to 54 years old,45,54,33662000,7700,2940000
55 to 64 years old,55,64,21337000,4600,1570000
65 to 74 years old,65,74,15244000,3600,1010000
75 years old and over,75,,10570000,3500,710000
